Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
01-03-2025,UPI-SWIGGY-BANGALORE-987654321,450.00,,48550.00
02-03-2025,UPI/DR/234567/ZOMATO INDIA,680.00,,47870.00
03-03-2025,NEFT CR-SALARY ACME CORP,,75000.00,122870.00
05-03-2025,NETFLIX.COM MUMBAI,649.00,,122221.00
06-03-2025,UPI-BLINKIT-GROCERIES-ORDER,1850.00,,120371.00
07-03-2025,UPI-AMAZON-IN-ORDER-998877,2499.00,,117872.00
09-03-2025,SPOTIFY PREMIUM,119.00,,117753.00
10-03-2025,UBER TRIP MUMBAI,285.00,,117468.00
12-03-2025,NACH-DR-HOME LOAN EMI HDFC,8500.00,,108968.00
14-03-2025,ELECTRICITY BILL BESCOM,1950.00,,107018.00
15-03-2025,UPI-SWIGGY-BANGALORE-987654321,520.00,,106498.00
17-03-2025,UPI-ZEPTO-QUICK-COMMERCE,2200.00,,104298.00
18-03-2025,UPI/DR/456789/LOCALMART-PUNE,380.00,,103918.00
20-03-2025,IRCTC TICKET BOOKING,1560.00,,102358.00
22-03-2025,UPI/DR/345012/ZOMATO SWIGGY ORDER,450.00,,101908.00
25-03-2025,RENT-MARCH-TRANSFER,25000.00,,76908.00
26-03-2025,UPI/DR/567890/BHIMUPI-9876543210,1500.00,,75408.00
28-03-2025,BSE SIP ZERODHA NIFTY50,5000.00,,70408.00
01-04-2025,NETFLIX.COM MUMBAI,649.00,,69759.00
02-04-2025,UPI-SWIGGY-BANGALORE-122334,610.00,,69149.00
03-04-2025,NEFT CR-SALARY ACME CORP,,75000.00,144149.00
05-04-2025,SPOTIFY PREMIUM,119.00,,144030.00
06-04-2025,UPI/DR/789012/DOMINOS PIZZA ONLINE,520.00,,143510.00
08-04-2025,NACH-DR-HOME LOAN EMI HDFC,8500.00,,135010.00
09-04-2025,UPI-BLINKIT-GROCERIES-ORDER,2150.00,,132860.00
10-04-2025,MAKEMYTRIP FLIGHT BOOKING,12400.00,,120460.00
12-04-2025,FLIPKART-ORDER-ELECTRONICS,3499.00,,116961.00
14-04-2025,UPI-ZEPTO-QUICK-COMMERCE,1950.00,,115011.00
15-04-2025,ELECTRICITY BILL BESCOM,2100.00,,112911.00
17-04-2025,UBER TRIP MUMBAI,350.00,,112561.00
19-04-2025,UPI/DR/901234/PETROL BUNK RELIANCE,2800.00,,109761.00
22-04-2025,UPI/DR/345678/ZOMATO INDIA ORDER,780.00,,108981.00
25-04-2025,RENT-APRIL-TRANSFER,25000.00,,83981.00
27-04-2025,GROWW SIP MUTUAL FUND,5000.00,,78981.00
28-04-2025,BOOKMYSHOW TICKETS BENGALURU,450.00,,78531.00
30-04-2025,APOLLO PHARMACY ONLINE,1200.00,,77331.00
01-05-2025,NETFLIX.COM MUMBAI,649.00,,76682.00
02-05-2025,UPI/DR/345678/LOCALSNACKS-VENDOR,290.00,,76392.00
03-05-2025,NEFT CR-SALARY ACME CORP,,75000.00,151392.00
05-05-2025,SPOTIFY PREMIUM,119.00,,151273.00
06-05-2025,UPI-SWIGGY-BANGALORE-987654321,490.00,,150783.00
08-05-2025,NACH-DR-HOME LOAN EMI HDFC,8500.00,,142283.00
10-05-2025,UPI-BLINKIT-GROCERIES-ORDER,1780.00,,140503.00
12-05-2025,ELECTRICITY BILL BESCOM,2250.00,,138253.00
14-05-2025,UPI-AMAZON-IN-ORDER-445566,1899.00,,136354.00
15-05-2025,UPI/DR/456123/DR SHARMA CLINIC,800.00,,135554.00
17-05-2025,UPI/DR/112233/ZOMATO ORDER BLORE,560.00,,134994.00
18-05-2025,IRCTC TICKET BOOKING,2200.00,,132794.00
20-05-2025,UPI-ZEPTO-QUICK-COMMERCE,2050.00,,130744.00
22-05-2025,UBER TRIP MUMBAI,410.00,,130334.00
24-05-2025,SMALLCASE INVESTMENT NIFTY,3000.00,,127334.00
25-05-2025,RENT-MAY-TRANSFER,25000.00,,102334.00
27-05-2025,HDFC BANK SIP NIFTY50,5000.00,,97334.00
28-05-2025,FLIPKART-ORDER-FASHION,1450.00,,95884.00
30-05-2025,UPI-SWIGGY-BANGALORE-112233,730.00,,95154.00
